date,merchant,amount,category
2025-10-28,Naivas Supermarket,1815.65,Food
2025-10-28,Java House,834.49,Food
2025-10-28,Subway Westgate,2182.54,Food
2025-10-28,Naivas Supermarket,1815.65,Food
2025-10-28,Subway Westgate,2182.54,Food
2025-10-28,Java House,834.49,Food
2025-10-29,Mr Price,4273.41,Shopping
2025-10-29,Zara Village Market,5658.92,Shopping
2025-10-29,Showmax,1006.13,Entertainment
2025-10-29,Bolt,542.04,Transport
2025-10-29,Showmax,1006.13,Entertainment
2025-10-29,Bolt,542.04,Transport
2025-10-29,Mr Price,4273.41,Shopping
2025-10-29,Zara Village Market,5658.92,Shopping
2025-10-30,Haltons Pharmacy,2191.55,Health
2025-10-30,DStv,1332.94,Entertainment
2025-10-30,Haltons Pharmacy,2191.55,Health
2025-10-30,DStv,1332.94,Entertainment
2025-10-31,Nairobi Water,961.64,Utilities
2025-10-31,Nairobi Water,961.64,Utilities
2025-10-31,Mama Oliech,571.69,Food
2025-10-31,Mama Oliech,571.69,Food
2025-11-01,Subway Westgate,1344.95,Food
2025-11-01,Haltons Pharmacy,3695.76,Health
2025-11-01,Shell Petrol,274.84,Transport
2025-11-01,Shell Petrol,274.84,Transport
2025-11-01,Kenya Bus,752.18,Transport
2025-11-01,Subway Westgate,1344.95,Food
2025-11-01,Kenya Bus,752.18,Transport
2025-11-01,Haltons Pharmacy,3695.76,Health
2025-11-02,Airtel Kenya,3142.05,Utilities
2025-11-02,Airtel Kenya,3142.05,Utilities
2025-11-02,KFC Nairobi,300.46,Food
2025-11-02,KFC Nairobi,300.46,Food
2025-11-03,Java House,408.33,Food
2025-11-03,Java House,408.33,Food
2025-11-04,Steam,754.79,Entertainment
2025-11-04,Nike Town,962.97,Shopping
2025-11-04,Kenya Bus,452.16,Transport
2025-11-04,Steam,754.79,Entertainment
2025-11-04,Nike Town,962.97,Shopping
2025-11-04,Kenya Bus,452.16,Transport
2025-11-05,Shell Petrol,402.43,Transport
2025-11-05,Naivas Supermarket,688.01,Food
2025-11-05,Nairobi Hospital,6351.16,Health
2025-11-05,Carrefour,387.11,Food
2025-11-05,Shell Petrol,402.43,Transport
2025-11-05,Carrefour,387.11,Food
2025-11-05,Naivas Supermarket,688.01,Food
2025-11-05,Nairobi Hospital,6351.16,Health
2025-11-06,Goodlife Pharmacy,1290.26,Health
2025-11-06,Carrefour,1048.97,Food
2025-11-06,AAR Clinic,4374.19,Health
2025-11-06,IMAX Westgate,854.09,Entertainment
2025-11-06,Carrefour,1048.97,Food
2025-11-06,Haltons Pharmacy,7004.59,Health
2025-11-06,IMAX Westgate,854.09,Entertainment
2025-11-06,Haltons Pharmacy,7004.59,Health
2025-11-06,AAR Clinic,4374.19,Health
2025-11-06,Goodlife Pharmacy,1290.26,Health
2025-11-07,Showmax,815.74,Entertainment
2025-11-07,Kenya Power,2286.82,Utilities
2025-11-07,Kenya Power,2286.82,Utilities
2025-11-07,Chicken Inn,976.14,Food
2025-11-07,KFC Nairobi,1510.46,Food
2025-11-07,Kenya Bus,779.15,Transport
2025-11-07,Showmax,815.74,Entertainment
2025-11-07,KFC Nairobi,1510.46,Food
2025-11-07,Chicken Inn,976.14,Food
2025-11-07,Kenya Bus,779.15,Transport
2025-11-08,Artcaffe,2273.05,Food
2025-11-08,KFC Nairobi,2371.73,Food
2025-11-08,Mama Oliech,1568.76,Food
2025-11-08,Mama Oliech,1568.76,Food
2025-11-08,KFC Nairobi,2371.73,Food
2025-11-08,Artcaffe,2273.05,Food
